Hex	Category	Name	Description
#9F2B68	purples	Amaranth deep purple	This purple evokes lavender fields with its soft medium tone.
#9F4576	purples	Magenta haze	Similar to violet blossoms, it's a soft medium purple.
#9F8170	oranges	Beaver	Similar to autumn leaves, it's a muted medium orange.
#9FA91F	yellows	Citron	A vibrant medium yellow reminiscent of morning sunlight.
#A020F0	purples	Veronica	A bright, electric purple named after the speedwell flower (genus Veronica), which has been used in traditional medicine and garden design for centuries. Veronica purple captures the flower's vibrant beauty and is associated with healing, fidelity, and the simple pleasures of wildflowers. This color is often used in design to convey energy, creativity, and natural charm.
#A0D6B4	greens	Turquoise green	Similar to pine forests, it's a soft light green.
#A17A74	reds	Burnished brown	A muted medium red reminiscent of brick walls.
#A1CAF1	blues	Baby blue eyes	Named after a twilight horizon, this blue has a vibrant light look.
#A2006D	purples	Flirt	Named after royal velvet, this purple has a vibrant medium look.
#A2A2D0	blues	Blue bell	Named after deep ocean water, this blue has a soft light look.
#A2ADD0	blues	Wild blue yonder	A soft, dreamy blue inspired by the vast, open skies and the limitless possibilities of the horizon. Wild blue yonder evokes the freedom of flight, the romance of adventure, and the peaceful contemplation of endless skies. This color is often used in design to convey tranquility, imagination, and the gentle beauty of natural expanses.
#A3C1AD	greens	Cambridge blue	This green evokes spring grass with its muted light tone.
#A45A52	reds	Redwood	Named after a fresh rose, this red has a soft medium look.
#A4DDED	blues	Non-photo blue	A light blue specifically designed to be invisible to photographic film and photocopiers. This color was used extensively in graphic design and technical drawing for creating guidelines and notes that wouldn't appear in final reproductions. Non-photo blue's association with precision and technical accuracy has made it significant in professional design and engineering applications.
#A50021	reds	University of Pennsylvania red	A vibrant medium red reminiscent of a fresh rose.
#A50B5E	purples	Jazzberry jam	This purple evokes royal velvet with its vibrant medium tone.
#A55353	reds	Middle red purple	This red evokes ripe cherries with its soft medium tone.
#A57164	reds	Blast-off bronze	A muted medium red reminiscent of ripe cherries.
#A63A79	purples	Maximum red purple	Named after lavender fields, this purple has a soft medium look.
#A67B5B	oranges	French beige	Similar to a glowing sunset, it's a muted medium orange.
#A6A6A6	neutrals	Quick Silver	A bright, metallic gray inspired by the mercury metal, which has been valued for its unique liquid properties and reflective surface since ancient times. This color represents speed, fluidity, and the mysterious properties of rare metals. Quick Silver's association with scientific discovery and industrial innovation has made it popular in technology and automotive design.
#A75502	oranges	Windsor tan	A rich, warm brown inspired by the traditional leather goods and equestrian equipment associated with Windsor Castle and British aristocracy. Windsor tan evokes the heritage of English craftsmanship, the elegance of royal traditions, and the timeless appeal of fine leatherwork. This color is often used in design to convey sophistication, tradition, and refined taste.
#A7F432	greens	Green Lizard	A vibrant medium green reminiscent of pine forests.
#A7FC00	greens	Spring bud	Named after fresh herbs, this green has a vibrant medium look.
#A81C07	reds	Rufous	This red evokes ripe cherries with its vibrant medium tone.
#A83731	reds	Sweet Brown	Similar to ripe cherries, it's a soft medium red.
#A8C3BC	greens	Opal	A soft, iridescent blue-green inspired by the opal gemstone, which has been treasured for its play of colors and mystical properties since ancient times. This color represents creativity, inspiration, and the ever-changing beauty of natural phenomena. Opal's association with artistic expression and spiritual insight has made it popular in jewelry and creative design.
#A8E4A0	greens	Granny Smith apple	A crisp, tart green inspired by the Granny Smith apple, which was first cultivated in Australia in the 1860s by Maria Ann Smith. This apple's distinctive green color comes from its high chlorophyll content, even when ripe. The color represents freshness, health, and natural tartness, making it popular in food packaging and wellness design. Granny Smith green's association with crisp, refreshing flavors has made it a favorite in culinary and beverage branding.
#A91101	reds	Rojo Spanish red	Similar to brick walls, it's a vibrant medium red.
#A9BA9D	greens	Laurel green	Named after fresh herbs, this green has a muted light look.
#AA381E	reds	Chinese red	This red evokes ripe cherries with its vibrant medium tone.
#AA98A9	purples	Heliotrope gray	This purple evokes violet blossoms with its muted light tone.
#AAA9AD	neutrals	Silver (Metallic)	Similar to driftwood, it's a muted light neutral.
#AAF0D1	greens	Magic mint	Similar to mint leaves, it's a vibrant light green.
#AB274F	purples	Amaranth purple	Named after violet blossoms, this purple has a vibrant medium look.
#AB4B52	reds	English red	This red evokes ripe cherries with its soft medium tone.
#AB4E52	reds	Rose vale	A soft medium red reminiscent of rose petals.
#AB92B3	purples	Glossy grape	A muted light purple reminiscent of royal velvet.
#ACACAC	neutrals	Silver chalice	Named after weathered stone, this neutral has a muted light look.
#ACACE6	blues	Maximum blue purple	Similar to a twilight horizon, it's a soft light blue.
#ACBF60	yellows	Middle green yellow	Named after morning sunlight, this yellow has a soft medium look.
#ACE1AF	greens	Celadon	A soft light green reminiscent of spring grass.
#ACE5EE	blues	Blizzard blue	Named after clear skies, this blue has a vibrant light look.
#AD4379	purples	Mystic maroon	Named after violet blossoms, this purple has a soft medium look.
#AD6F69	reds	Copper penny	Similar to brick walls, it's a muted medium red.
#ADD8E6	blues	Light blue	A gentle, soothing blue that captures the soft, peaceful quality of a clear morning sky. This color represents tranquility, calmness, and open spaces. Light blue's association with serenity and trust has made it popular in healthcare, baby products, and corporate branding. The color's gentle, approachable quality makes it ideal for creating welcoming, peaceful environments.
#AE2029	reds	Upsdell red	Similar to a fresh rose, it's a vibrant medium red.
#AE98AA	purples	Lilac Luster	Named after violet blossoms, this purple has a muted light look.
#AF4035	reds	Medium carmine	A deep, rich red pigment derived from the cochineal insect, which has been used as a dye for over 2,000 years. This color was highly prized by the Aztecs and was one of the most valuable exports from the New World to Europe. Medium carmine's association with luxury and permanence has made it popular in fine art and high-end textiles throughout history.
#AF6E4D	oranges	Brown sugar	A soft medium orange reminiscent of autumn leaves.
#AFDBF5	blues	Uranian blue	Named after clear skies, this blue has a vibrant light look.
#B03060	purples	Maroon (X11)	A soft medium purple reminiscent of royal velvet.
#B0BF1A	yellows	Acid green	A bright, electric yellow-green that captures the intensity of modern urban aesthetics and digital culture. This color represents high energy, attention-grabbing design, and the bold visual language of contemporary art and advertising. Acid green's association with youth culture and high-impact design has made it popular in entertainment and alternative branding.
#B0C4DE	blues	Light steel blue	A cool, metallic blue-gray that mimics the appearance of polished steel. This color represents strength, precision, and industrial efficiency. Light steel blue's association with technology and engineering has made it popular in automotive design and industrial applications. The color's professional, reliable quality makes it ideal for creating trustworthy, efficient environments.
#B0E0E6	blues	Powder blue	A soft, gentle blue inspired by the delicate color of powdered cosmetics and traditional face powders. This color represents refinement, gentleness, and the subtle beauty of traditional grooming practices. Powder blue's association with classic beauty and timeless elegance has made it popular in cosmetic and heritage design.
#B22222	reds	Firebrick	A vibrant medium red reminiscent of flames.
#B284BE	purples	African violet	A soft, gentle purple inspired by the African violet flower (Saintpaulia), which is native to Tanzania and Kenya. These delicate flowers have been cultivated as houseplants since the 19th century and are beloved for their year-round blooming and easy care. African violet's association with domestic comfort and natural beauty has made it popular in home decor and garden design.
#B2BEB5	neutrals	Ash gray	This neutral evokes soft ash with its muted light tone.
#B2EC5D	greens	Inchworm	This green evokes spring grass with its vibrant light tone.
#B2FFFF	blues	Celeste	A vibrant light blue reminiscent of clear skies.
#B31B1B	reds	Carnelian	A vibrant medium red reminiscent of ripe cherries.
#B3446C	purples	Raspberry rose	A soft medium purple reminiscent of rose petals.
#B48395	purples	English lavender	Similar to lavender blossoms, it's a muted light purple.
#B53389	purples	Fandango	Named after royal velvet, this purple has a soft medium look.
#B57EDC	purples	Lavender (floral)	A soft, fragrant purple inspired by the lavender flower (Lavandula), which has been cultivated in the Mediterranean for over 2,500 years. Lavender's soothing color represents tranquility, healing, and spiritual purification. The flower's essential oils have been used in aromatherapy and traditional medicine for centuries. This color's calming properties have made it popular in spa design, sleep products, and wellness branding.
#B5B35C	yellows	Olive green	This yellow evokes olive groves with its soft medium tone.
#B7410E	oranges	Rust	This orange evokes autumn leaves with its vibrant medium tone.
#B768A2	purples	Pearly purple	A soft, iridescent purple that captures the delicate shimmer of pearl-like surfaces. This color represents elegance, refinement, and the subtle beauty of natural iridescence. Pearly purple's association with luxury and sophisticated beauty has made it popular in high-end fashion and cosmetic design.
#B784A7	purples	Opera mauve	A sophisticated purple-pink that captures the elegant atmosphere of opera houses and classical performances. This color represents cultural refinement, artistic excellence, and the glamour of high society entertainment. Opera mauve's association with classical arts and luxury has made it popular in theatrical and cultural design.
#B86D29	oranges	Liver (dogs)	Named after a glowing sunset, this orange has a vibrant medium look.
#B87333	oranges	Copper	Similar to a glowing sunset, it's a soft medium orange.
#B8860B	oranges	Dark goldenrod	This orange evokes a glowing sunset with its vibrant medium tone.
#B94E48	reds	Deep chestnut	This red evokes ripe cherries with its soft medium tone.
#B9D9EB	blues	Columbia Blue	Similar to clear skies, it's a soft light blue.
#BA160C	reds	International orange (engineering)	A vibrant medium red reminiscent of a fresh rose.
#BA55D3	purples	Medium orchid	A vibrant purple-pink inspired by the orchid flower, which has been cultivated for its beauty and rarity for centuries. This color represents exotic beauty, luxury, and refined taste. Medium orchid's association with tropical elegance and sophisticated beauty has made it popular in high-end fashion and interior design.
#BBB477	yellows	Misty moss	A soft, muted yellow-green that captures the gentle color of moss in morning mist. This color represents the quiet beauty of natural landscapes and the peaceful quality of early morning light. Misty moss's association with tranquility and natural harmony has made it popular in outdoor and nature-inspired design.
#BC8F8F	reds	Rosy brown	A muted light red reminiscent of ripe cherries.
#BCB88A	yellows	Sage	A muted light yellow reminiscent of morning sunlight.
#BCD4E6	blues	Beau blue	Similar to a twilight horizon, it's a soft light blue.
#BD33A4	purples	Byzantine	This purple evokes violet blossoms with its soft medium tone.
#BDB76B	yellows	Dark khaki	This yellow evokes ripe lemons with its soft medium tone.
#BDDA57	yellows	June bud	Named after ripe lemons, this yellow has a vibrant medium look.
#BE4F62	reds	Popstar	A vibrant, energetic pink-red that captures the glamour and excitement of celebrity culture and entertainment. This color represents fame, charisma, and the magnetic appeal of popular culture. Popstar's association with show business and celebrity lifestyle has made it popular in entertainment and fashion branding.
#BEBEBE	neutrals	Gray (X11 gray)	Named after weathered stone, this neutral has a muted light look.
#BED3E5	blues	Pale aqua	A soft, gentle blue that captures the delicate color of shallow tropical waters. This color represents tranquility, clarity, and the peaceful quality of natural water environments. Pale aqua's association with calmness and natural beauty has made it popular in spa and wellness design.
#BF00FF	purples	Electric purple	This purple evokes lavender fields with its vibrant medium tone.
#BFAFB2	neutrals	Black Shadows	A muted light neutral reminiscent of weathered stone.
#BFC1C2	neutrals	Silver sand	Named after soft ash, this neutral has a muted light look.
#BFFF00	greens	Lime (color wheel)	A bright, electric green-yellow that represents the pure color of lime fruit. This color captures the zesty, energizing quality of citrus and represents freshness and vitality. Lime's association with tropical flavors and summer refreshment has made it popular in food and beverage branding. The color's vibrant, attention-grabbing quality makes it ideal for creating high-impact visual statements.
#C0362C	reds	International orange (Golden Gate Bridge)	Similar to a fresh rose, it's a vibrant medium red.
#C04000	oranges	Mahogany	This orange evokes autumn leaves with its vibrant medium tone.
#C0448F	purples	Red-violet (Crayola)	Named after violet blossoms, this purple has a soft medium look.
#C08081	reds	Old rose	A soft, muted pink that captures the faded beauty of vintage rose petals. This color represents romantic nostalgia, gentle memories, and the enduring appeal of classic beauty. Old rose's association with vintage charm and timeless romance has made it popular in heritage design and romantic aesthetics.
#C09999	reds	Tuscany	A muted, rosy red inspired by the romantic landscapes and artistic legacy of Tuscany, Italy. The color Tuscany evokes the region's historic cities, Renaissance art, and the soft glow of sunset over rolling vineyards. It is often used in design to convey elegance, nostalgia, and the timeless allure of Italian culture.
#C0C0C0	neutrals	Silver	This neutral evokes soft ash with its muted light tone.
#C154C1	purples	Fuchsia (Crayola)	Named after violet blossoms, this purple has a soft medium look.
#C19A6B	oranges	Camel / Wood Brown   A warm, natural brown inspired by the rich tones of aged wood and timber (or a camel). Evokes the craftsmanship of traditional woodworking, the warmth of natural materials, and the enduring beauty of wooden furniture and architecture. This color is often used in design to convey authenticity, craftsmanship, and the comforting appeal of natural materials.
#C21E56	purples	Rose red	Similar to rose petals, it's a vibrant medium purple.
#C2B280	yellows	Ecru / Sand	Initially indicated unbleached linen (écru is French for "raw, unbleached")
#C30B4E	reds	Pictorial carmine	A deep, rich red pigment made from the cochineal insect (Dactylopius coccus), which lives on prickly pear cacti in Central and South America. This dye was highly prized by the Aztecs and was one of the most valuable exports from the New World to Europe. It takes approximately 7,000 insects to produce one pound of carmine dye. The pigment's intensity and permanence made it popular for royal garments and religious vestments, though modern versions often use synthetic alternatives.
#C32148	reds	Maroon (Crayola)	Named after brick walls, this red has a vibrant medium look.
#C3B091	oranges	Khaki (web)	A light brownish-yellow color that takes its name from the Persian word 'khak,' meaning dust or earth. Khaki was first used for military uniforms in the 19th century by British troops in India, where the dusty color provided excellent camouflage. This practical color has since become a staple in casual wear and outdoor clothing, representing durability, utility, and understated style.
#C3CDE6	blues	Periwinkle (Crayola)	This blue evokes clear skies with its soft light tone.
#C40233	purples	Red (NCS)	A vibrant medium purple reminiscent of lavender fields.
#C41E3A	reds	Cardinal	Similar to a fresh rose, it's a vibrant medium red.
#C46210	oranges	Alloy orange	A warm, metallic orange inspired by the appearance of copper alloys and industrial metals. This color represents the strength and durability of engineered materials, having been used in automotive and industrial applications. Alloy orange's association with precision engineering and material science has made it popular in automotive and industrial design.
#C4AEAD	reds	Silver pink	This red evokes ripe cherries with its muted light tone.
#C4C3D0	neutrals	Lavender gray	This neutral evokes lavender blossoms with its muted light tone.
#C54B8C	purples	Mulberry	A deep, rich purple-red inspired by the mulberry fruit, which has been cultivated for its sweet taste and silk production for thousands of years. This color represents abundance, natural sweetness, and the connection between agriculture and textile production. Mulberry's association with traditional crafts and natural dyes has made it popular in artisanal and sustainable design.
#C5B358	yellows	Vegas gold	A shimmering, metallic gold inspired by the dazzling lights and opulence of Las Vegas. Vegas gold captures the glamour and excitement of the entertainment capital, evoking the golden age of show business and the allure of fortune. This color is often used in design to convey luxury, celebration, and the thrill of possibility.
#C5CBE1	blues	Light periwinkle	A delicate, soft blue inspired by the periwinkle flower (Vinca minor), which has been used in traditional medicine and garden design for centuries. This color represents tranquility, friendship, and gentle beauty. Light periwinkle's association with spring flowers and peaceful gardens has made it popular in romantic and pastoral design themes.
#C5E384	greens	Yellow-green (Crayola)	This green evokes fresh herbs with its vibrant light tone.
#C71585	purples	Medium violet-red	A rich, deep purple-red that represents the perfect balance between violet and red. This color has been associated with passion, creativity, and artistic expression throughout history. Medium violet-red's association with dramatic flair and emotional intensity has made it popular in fashion and entertainment design.
#C72C48	reds	French raspberry	A vibrant medium red reminiscent of brick walls.
#C80815	reds	Venetian red	A deep, rich red pigment originally made from iron oxide and named after the Italian city of Venice, where it was produced and traded during the Renaissance. Venetian red was prized by artists like Titian and Veronese for its warm, earthy quality and excellent covering power. This color evokes the artistic legacy of Venice and the rich cultural heritage of Italian painting traditions.
#C84186	purples	Smitten	This purple evokes violet blossoms with its soft medium tone.
#C8509B	purples	Mulberry (Crayola)	Named after lavender fields, this purple has a soft medium look.
#C88A65	oranges	Antique brass	Similar to autumn leaves, it's a soft medium orange.
#C8A2C8	purples	Lilac	A soft, fragrant purple inspired by the lilac flower (Syringa vulgaris), which has been cultivated in gardens for centuries. This color represents spring, romance, and the renewal of love. Lilac's association with first love and youthful romance has made it popular in bridal and spring fashion. The color's gentle, romantic quality evokes feelings of nostalgia and sweet memories.
#C8AD7F	oranges	Light French beige	A warm, sophisticated beige that captures the refined elegance of French design and architecture. This color represents the timeless beauty of Parisian interiors and the understated luxury of French fashion. Light French beige's association with classic style and European sophistication has made it popular in high-end interior design and luxury branding.
#C95A49	reds	Cedar Chest	This red evokes brick walls with its soft medium tone.
#C9A0DC	purples	Wisteria	A delicate, soft purple inspired by the cascading blooms of the wisteria vine, which has been cultivated in gardens for centuries. Wisteria color evokes the romantic beauty of spring gardens, the gentle elegance of traditional landscaping, and the dreamy quality of floral abundance. This color is often used in design to convey romance, natural grace, and the timeless appeal of garden beauty.
#C9C0BB	neutrals	Silver (Crayola)	Named after driftwood, this neutral has a muted light look.
#CA1F7B	purples	Magenta (dye)	Named after royal velvet, this purple has a vibrant medium look.
#CAE00D	yellows	Bitter lemon	This yellow evokes morning sunlight with its vibrant medium tone.
#CB410B	oranges	Sinopia	A vibrant medium orange reminiscent of tangerine peel.
#CB4154	reds	Brick red	This red evokes ripe cherries with its soft medium tone.
#CB6D51	reds	Copper red	Similar to ripe cherries, it's a soft medium red.
#CBA135	oranges	Satin sheen gold	A soft medium orange reminiscent of a glowing sunset.
#CC3333	reds	Persian red	A vibrant, rich red inspired by the traditional ceramics and textiles of Persia, where this color has been used in decorative arts for centuries. This color represents the passion and vitality of Persian culture and the rich traditions of Middle Eastern craftsmanship. Persian red's association with cultural heritage and artistic excellence has made it popular in heritage and luxury design.
#CC3336	reds	Madder Lake	A deep, transparent red pigment made by precipitating dye from the madder root (Rubia tinctorum) onto an inert substrate, such as alumina. Used since antiquity, madder lake was prized for its rich, glowing color and was a favorite of Old Masters for glazing techniques. The pigment's lightfastness varies depending on preparation, but its historical significance and unique hue have made it a staple in both textile dyeing and fine art painting for centuries.
#CC33CC	purples	Steel pink	Similar to violet blossoms, it's a vibrant medium purple.
#CC474B	reds	English vermillion	A soft medium red reminiscent of ripe cherries.
#CC5500	oranges	Burnt Orange	A dark orange with brown undertones inspired by the process of heating or 'burning' orange pigments to create deeper, more muted tones. This technique has been used in traditional painting and ceramics for centuries. Burnt orange represents the warmth of autumn, the richness of harvest time, and the enduring appeal of earth tones in art and design.
#CC7722	oranges	Ocher (Ochre)	A natural earth pigment composed of iron oxide and clay, one of the oldest pigments used by humans. Evidence of ochre use dates back over 100,000 years, with prehistoric cave paintings in France and Australia featuring this warm, earthy color. The pigment's name comes from the Greek 'ochros,' meaning pale yellow. Ochre was used for body painting, cave art, and early textiles, and remains a staple in traditional painting techniques today.
#CC8899	reds	Puce	A muted, dusty pink that was popular in 18th-century French fashion, particularly during the reign of Marie Antoinette. This color represents the opulence of the French court and the dramatic shifts in fashion that preceded the French Revolution. Puce's association with historical fashion and aristocratic taste has made it significant in costume and heritage design.
#CCA01D	oranges	Lemon curry	Named after a glowing sunset, this orange has a vibrant medium look.
#CCCCFF	blues	Lavender blue / Periwinkle	This blue evokes lavender blossoms with its vibrant light tone. A soft, gentle blue inspired by the periwinkle flower, which has been used in traditional medicine and folklore for centuries. This color represents healing, tranquility, and the gentle beauty of spring wildflowers. Periwinkle's association with natural healing and peaceful growth has made it popular in wellness and garden design.
#CCFF00	yellows	Electric lime	Named after morning sunlight, this yellow has a vibrant medium look.
#CD5700	oranges	Tenné (tawny)	Similar to tangerine peel, it's a vibrant medium orange.
#CD5C5C	reds	Indian red	A soft medium red reminiscent of brick walls.
#CD607E	purples	Cinnamon Satin	Named after violet blossoms, this purple has a soft medium look.
#CD7F32	oranges	Bronze	Named after autumn leaves, this orange has a vibrant medium look.
#CE2029	reds	Fire engine red	Named after flames, this red has a vibrant medium look.
#CEFF00	yellows	Volt	A bright, electric yellow-green inspired by the high-voltage energy of electricity and the vibrant glow of neon lights. Volt captures the intensity and power of electrical energy, representing innovation, technology, and the dynamic force of modern progress. This color is often used in design to convey energy, excitement, and cutting-edge appeal.
#CF1020	reds	Lava	A brilliant red-orange that captures the intense heat and energy of molten rock flowing from volcanoes. This color represents the raw power of Earth's geological forces and the primal energy of volcanic eruptions. Lava's association with destruction and creation has made it a symbol of transformation and renewal. The color's intensity and warmth have made it popular in automotive design and high-energy branding.
#CF3476	purples	Telemagenta	Named after lavender fields, this purple has a vibrant medium look.
#CF6BA9	purples	Super pink	Similar to lavender fields, it's a soft light purple.
#CF71AF	purples	Sky magenta	Similar to a clear sky, it's a soft light purple.
#CFB53B	yellows	Old gold	A warm, muted yellow that mimics the appearance of aged gold metal, which has been treasured for its beauty and value throughout human history. This color represents heritage, wisdom, and the passage of time. Old gold's association with tradition and enduring value has made it popular in heritage branding and classical design.
#D0417E	purples	Magenta (Pantone)	Named after lavender fields, this purple has a vibrant medium look.
#D0F0C0	greens	Tea green	A vibrant light green reminiscent of spring grass.
#D0FF14	yellows	Arctic lime	Similar to morning sunlight, it's a vibrant medium yellow.
#D10047	purples	Spanish carmine	Named after violet blossoms, this purple has a vibrant medium look.
#D10056	purples	Rubine red	This purple evokes violet blossoms with its vibrant medium tone.
#D1E231	yellows	Pear	A fresh, crisp yellow-green inspired by the pear fruit, which has been cultivated for its sweet taste and nutritional value for thousands of years. This color represents natural sweetness, health, and the abundance of orchards. Pear's association with natural food and healthy living has made it popular in organic and wellness branding.
#D2691E	oranges	Chocolate (web)	This orange evokes chocolate bars with its vibrant medium tone.
#D2B48C	oranges	Tan	Similar to a glowing sunset, it's a soft light orange.
#D3AF37	yellows	Metallic gold	A rich, warm yellow that mimics the appearance of precious gold metal. This color has been associated with wealth, power, and divinity throughout human history, from ancient Egyptian pharaohs to modern luxury brands. Metallic gold's association with luxury and success has made it a staple in high-end design, jewelry, and ceremonial objects. The color's ability to catch and reflect light gives it a special luminosity that has fascinated artists and craftsmen for millennia.
#D3D3D3	neutrals	Light gray	A soft, neutral gray that represents balance, sophistication, and understated elegance. This color serves as a versatile foundation in design, providing a clean backdrop that allows other colors to shine. Light gray's association with professionalism and reliability has made it popular in corporate environments and modern interiors. The color's calming, neutral quality makes it ideal for creating harmonious, balanced spaces.
#D40000	reds	Rosso corsa	Named after ripe cherries, this red has a vibrant medium look.
#D44500	oranges	Syracuse Orange	Named after autumn leaves, this orange has a vibrant medium look.
#D470A2	purples	Wild orchid	A soft, romantic pink-purple inspired by the delicate beauty of wild orchid flowers, which grow in diverse habitats from tropical rainforests to temperate woodlands. Wild orchid color evokes the exotic beauty of rare flowers, representing elegance, refinement, and the mysterious allure of natural wonders. This color is often used in design to convey sophistication, romance, and natural elegance.
#D473D4	purples	French mauve	Similar to violet blossoms, it's a soft light purple.
#D4AF37	yellows	Gold (metallic)	A rich, warm yellow that mimics the appearance of precious gold metal. This color has been associated with wealth, power, and divinity throughout human history, from ancient Egyptian pharaohs to Byzantine emperors. Metallic gold's association with luxury and success has made it a staple in high-end design, jewelry, and ceremonial objects. The color's ability to catch and reflect light gives it a special luminosity that has fascinated artists and craftsmen for millennia.
#D65282	purples	Mystic	A deep, mysterious pink-purple that represents the unknown, the mystical, and the hidden realms of consciousness. This color has been associated with spiritual practices, meditation, and the exploration of inner wisdom. Mystic's association with esoteric knowledge and spiritual awakening has made it popular in wellness and metaphysical design.
#D68A59	oranges	Raw sienna	Named after a glowing sunset, this orange has a vibrant medium look.
#D6CADD	neutrals	Languid lavender	Named after lavender blossoms, this neutral has a muted light look.
#D70040	purples	Carmine (M&P)	This purple evokes violet blossoms with its vibrant medium tone.
#D74894	purples	Pink (Pantone)	A vibrant medium purple reminiscent of violet blossoms.
#D7837F	reds	New York pink	A sophisticated, urban pink that captures the energy and diversity of New York City. This color represents cosmopolitan style, cultural vibrancy, and the dynamic spirit of urban life. New York pink's association with fashion, art, and metropolitan culture has made it popular in contemporary design and urban branding.
#D891EF	purples	Bright lilac	Named after royal velvet, this purple has a vibrant light look.
#D8B2D1	purples	Pink lavender	Named after lavender blossoms, this purple has a soft light look.
#D8BFD8	purples	Thistle	A gentle, soft purple that represents creativity, spirituality, and gentle wisdom. This color has been associated with royalty and luxury throughout history, but in its lighter form, it takes on a more approachable, nurturing quality. Light purple's association with imagination and artistic expression has made it popular in children's products and creative spaces.
#D9004C	purples	UA red	This purple evokes lavender fields with its vibrant medium tone.
#D92121	reds	Maximum red	This red evokes a fresh rose with its vibrant medium tone.
#D982B5	purples	Middle purple	This purple evokes violet blossoms with its soft light tone.
#D98695	reds	Shimmering Blush	Named after a fresh rose, this red has a soft light look.
#D99058	oranges	Persian orange	A warm, rich orange inspired by the traditional ceramics and textiles of Persia, where this color has been used in decorative arts for centuries. This color represents the warmth of Middle Eastern hospitality and the rich traditions of Persian craftsmanship. Persian orange's association with cultural heritage and artisanal excellence has made it popular in heritage and luxury design.
#D99A6C	oranges	Tan (Crayola)	This orange evokes tangerine peel with its soft light tone.
#D9E650	yellows	Maximum green yellow	Named after sunflower petals, this yellow has a vibrant light look.
#DA1884	purples	Barbie Pink	A vibrant medium purple reminiscent of lavender fields.
#DA2C43	reds	Rusty red	Named after a fresh rose, this red has a vibrant medium look.
#DA3287	purples	Deep cerise	A vibrant medium purple reminiscent of royal velvet.
#DA70D6	purples	Orchid	A delicate, exotic purple inspired by the orchid flower, which has been cultivated for its beauty and rarity for thousands of years. This color represents luxury, refinement, and the pursuit of rare beauty. Orchid's association with exotic elegance and sophisticated taste has made it popular in luxury branding and floral design.
#DA8A67	oranges	Copper (Crayola)	This orange evokes tangerine peel with its vibrant light tone.
#DA9100	oranges	Harvest gold	This orange evokes autumn leaves with its vibrant medium tone.
#DAA520	yellows	Goldenrod	A deeper, muted yellow inspired by the goldenrod plant (Solidago), which blooms in late summer and early autumn across North America and Europe. Goldenrod has been used in folk medicine, dyeing, and as a symbol of encouragement and good fortune. Its warm, earthy hue evokes the changing seasons and the richness of natural landscapes, making it a popular choice in rustic and botanical art.
#DB2D43	reds	Alizarin	A deep, rich red pigment originally derived from the roots of the madder plant, used in textile dyeing for thousands of years. In 1868, German chemists synthesized alizarin, revolutionizing the dye industry and making this once-rare color widely available. Alizarin's association with traditional craftsmanship and artistic innovation has made it significant in heritage and textile design.
#DBD7D2	neutrals	Timberwolf	A soft, pale gray inspired by the elusive timberwolf, whose fur blends seamlessly with misty forests and snowy landscapes. The color timberwolf evokes the quiet strength and adaptability of these iconic creatures, revered in Native American folklore as symbols of loyalty, intuition, and wilderness wisdom. This gentle neutral is often used in design to convey subtlety, calm, and a connection to the natural world.
#DC143C	reds	Crimson	A deep, rich red with a slight blue undertone, originally derived from the kermes insect (Kermes vermilio) found on Mediterranean oak trees. This ancient dye was used by the Phoenicians and Romans, and its name comes from the Arabic 'qirmiz.' Crimson was so valuable that it was often worth more than gold, reserved for royal garments and religious vestments. The color's association with power and prestige continues today, where it represents authority and importance in academic and military contexts.
#DCDCDC	neutrals	Gainsboro	A muted light neutral reminiscent of soft ash.
#DDA0DD	purples	Plum (web)	Named after royal velvet, this purple has a soft light look.
#DE3163	purples	Cerise	A vibrant medium purple reminiscent of lavender fields.
#DE5285	purples	Fandango pink	This purple evokes violet blossoms with its vibrant medium tone.
#DE5D83	purples	Blush	A vibrant light purple reminiscent of lavender fields.
#DE6FA1	purples	Thulian pink	Similar to violet blossoms, it's a vibrant light purple.
#DEA5A4	reds	Pastel pink	Similar to ripe cherries, it's a soft light red.
#DEAA88	oranges	Tumbleweed	Named after tangerine peel, this orange has a soft light look.
#DEB887	oranges	Burlywood	A soft light orange reminiscent of tangerine peel.
#DECC9C	oranges	Lion	A warm, golden beige inspired by the majestic lion's mane, which has been a symbol of strength, courage, and royalty throughout human history. This color represents leadership, nobility, and natural authority. Lion's association with power and dignity has made it popular in luxury branding and traditional design. The color's rich, warm quality evokes feelings of strength and confidence.
#DF00FF	purples	Phlox / Psychedelic purple	A bright, electric purple that captures the excitement and energy of 1960s counterculture and psychedelic art. This color represents artistic freedom, cultural revolution, and the exploration of consciousness. Psychedelic purple's association with creative expression and cultural innovation has made it popular in artistic and alternative design.
#DF73FF	purples	Heliotrope	A bright purple-pink named after the heliotrope flower (Heliotropium), which was believed to turn toward the sun. The name comes from the Greek 'helios' (sun) and 'trope' (turn). This color represents devotion and faithfulness, as the flower was thought to follow the sun's path across the sky. Heliotrope's vibrant, romantic quality has made it popular in Victorian gardens and continues to appeal in modern floral design and fashion.
#E0115F	purples	Ruby	Similar to royal velvet, it's a vibrant medium purple.
#E0B0FF	purples	Mauve	A soft, dusty purple named after the French word for the mallow flower. This color was accidentally discovered by 18-year-old chemistry student William Henry Perkin in 1856 while trying to synthesize quinine. Mauve became the first synthetic dye and revolutionized the textile industry, making purple accessible to everyone. The color's association with innovation and democratization of fashion has made it historically significant.
